RecordType,Field1,Field2,Field3,Field4,Field5,PartNumber,Quantity,Field8,Date,Price,Field11,Field12,VendorName
8888RTV,0,5773456,117,4307,1,CBM,2,823,20260109,11.83,11315255,8996,ADI
8888RTV,0,5770426,33,1501,1,B-ACS300-E-B,1,272,20260109,495,11337438,191253,BRIVO SYSTEMS LLC
8888RTV,0,5773456,279,4886,3,ANV-L7012R,7,272,20260109,57.64,11335871,8996,ADI
8888RTV,0,5770345,10,4329,2,ADC-AC-X1100,1,821,20260112,330,11331107,220865,ALARM.COM INC
8888RTV,0,5773456,69,5132,1,0E-22LED3,1,691,20260112,112.89,11344787,8996,ADI
8888RTV,0,5770345,2,4347,1,ADC-AC-ET10,2,678,20260112,143.15,11335304,220865,ALARM.COM INC
8888RTV,0,5773456,415,5075,1,XRN-1620SB1-8TB,1,697,20260113,947.82,11344083,8996,ADI
8888RTV,0,5773456,279,5116,1,ANV-L7012R,1,682,20260114,57.64,11344470,8996,ADI
8888RTV,0,5773456,162,5024,1,XRN-1620SB1-4TB,2,831,20260114,790.61,11341932,8996,ADI
8888RTV,0,5773456,130,5097,3,ANE-L7012R,4,692,20260114,88.43,11344164,8996,ADI
8888RTV,0,5773456,59,4921,6,QND-7012R,2,813,20260114,129.53,11337494,8996,ADI
8888RTV,0,5773456,7,5028,4,ARN-410S-2TB,2,623,20260115,248.91,11341934,8996,ADI
8888RTV,0,5773456,393,5231,4,ARN-810S-2TB,4,573,20260115,277.95,11348948,8996,ADI
8888RTV,0,5773456,91,4948,2,ANO-L7012R,4,294,20260109,57.64,11338333,8996,ADI
8888RTV,0,5773456,196,4520,1,CB110,12,682,20260109,8.68,11322274,8996,ADI
8888RTV,0,5773456,279,4421,1,ANV-L7012R,1,342,20260109,57.64,11318487,8996,ADI
8888RTV,0,5773456,67,5044,1,GS105NA,2,718,20260112,29.6,11342180,8996,ADI
8888RTV,0,5773456,43,5023,1,XRN-820S-4TB,1,830,20260113,572.87,11341931,8996,ADI
8888RTV,0,5773456,225,5140,1,SBV-136BW,2,469,20260113,10.78,11344877,8996,ADI
8888RTV,0,5770345,10,4362,2,ADC-AC-X1100,1,723,20260113,330,11336140,220865,ALARM.COM INC
8888RTV,0,5773456,43,4946,1,XRN-820S-4TB,1,831,20260113,572.87,11338281,8996,ADI
8888RTV,0,5770426,33,1518,1,B-ACS300-E-B,2,207,20260113,495,11344067,191253,BRIVO SYSTEMS LLC
