RecordType,Field1,Field2,Field3,Field4,Field5,PartNumber,Quantity,Field8,Date,Price,Field11,Field12,VendorName
8888RTV,0,5773456,392,2741,1,CB130T,12,612,20251222,8.68,11260642,8996,ADI
8888RTV,0,5770345,10,4188,2,ADC-AC-X1100,1,837,20251222,330,11311494,220865,ALARM.COM INC
8888RTV,0,5773456,392,2799,1,CB130T,4,688,20251223,8.68,11262740,8996,ADI
8888RTV,0,5770415,18,625,4,IQP4003,50,503,20251223,240,11297931,256872,"QOLSYS, INC"
8888RTV,0,5773456,426,4361,1,SBV-A14B,4,888,20251223,21.02,11317278,8996,ADI
8888RTV,0,5770462,13,2765,1,454652AWHA,3000,262,20251223,0.194196875,11313422,6332,PAIGE ELECTRIC CO LP
8888RTV,0,5773456,299,4338,1,WMS,6,603,20251223,13.41,11315847,8996,ADI
8888RTV,0,5770457,21,1256,1,3250PNNMN,100,630,20251224,4.02,11310851,7092,HID GLOBAL
8888RTV,0,5773456,81,4385,2,XRN-820S-2TB,4,829,20251224,498.43,11317390,8996,ADI
8888RTV,0,5770345,19,4151,1,ADC-VDB750-TH,1,824,20251219,99,11307464,220865,ALARM.COM INC
8888RTV,0,5770345,2,4159,1,ADC-AC-ET10,3,837,20251219,143.15,11308803,220865,ALARM.COM INC
8888RTV,0,5773456,418,4194,1,SBP-137WMW1,5,819,20251222,27.89,11310921,8996,ADI
8888RTV,0,5282114,353,37382,40,CELLANT3DBPK,18,503,20251222,72.51,11275511,256963,ADEMCO INC
8888RTV,0,5770345,10,4135,1,ADC-AC-X1100,1,469,20251222,330,11306348,220865,ALARM.COM INC
8888RTV,0,5770342,103,1330,1,MCW-S/B,2,685,20251222,17.85,11306764,8620,AIPHONE CORPORATION
8888RTV,0,5282114,236,37387,14,5800PIR-COM,18,501,20251222,49.85,11275595,256963,ADEMCO INC
8888RTV,0,5773985,2,1,S50DTCAF,5000,503,20251223,0.152851542,11291036,265764,THE,PRINTING FULFILLMENT AND MAILING GRO
8888RTV,0,5770462,14,2799,2,454660AWHA,2000,850,20251223,0.278962143,11319991,6332,PAIGE ELECTRIC CO LP
8888RTV,0,5773456,394,4252,2,ANO-L7022R,2,621,20251223,57.64,11313158,8996,ADI
8888RTV,0,5773456,7,4341,3,ARN-410S-2TB,3,685,20251223,248.91,11315897,8996,ADI
8888RTV,0,5773456,279,4340,1,ANV-L7012R,12,696,20251223,57.64,11315886,8996,ADI
8888RTV,0,5770345,10,4180,1,ADC-AC-X1100,1,819,20251223,330,11311043,220865,ALARM.COM INC
