Warehouse,Location,PartLocationNo,StatusDescription,Low Level,Mid_Level,High_Level,Total PartNo,ProgramID
DISCREPANCY,DELL - MEMPHIS,Discrepancy.ARB.0.0.0,RECEIVED,ARB Research,ARB Research,ARB Hold,62,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.AF.11.02A,RECEIVED,ARB Research,ARB Research,ARB Hold,3,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.AF.11.03A,RECEIVED,ARB Research,ARB Research,ARB Hold,12,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.BJ.02.02A,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.BJ.03.02C,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.BJ.05.02B,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.BJ.06.01A,RECEIVED,ARB Research,ARB Research,ARB Hold,2,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.BJ.06.02A,RECEIVED,ARB Research,ARB Research,ARB Hold,7,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.BJ.08.02B,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.BJ.10.01B,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.BK.02.02B,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.BK.02.02D,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.BK.04.02C,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.BK.08.01B,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.BK.09.01B,RECEIVED,ARB Research,ARB Research,ARB Hold,2,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.BK.09.02B,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.BK.10.01B,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.BK.10.02A,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.BK.11.01A,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.BK.11.01B,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.BL.02.02C,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.BL.08.02B,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.BL.10.01B,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.BM.04.01C,RECEIVED,ARB Research,ARB Research,ARB Hold,4,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.BM.07.01B,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.BP.10.01F,RECEIVED,ARB Research,ARB Research,ARB Hold,8,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.BP.11.01G,RECEIVED,ARB Research,ARB Research,ARB Hold,13,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DA.01.01A,RECEIVED,ARB Research,ARB Research,ARB Hold,36,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DA.01.01B,RECEIVED,ARB Research,ARB Research,ARB Hold,33,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DA.01.01D,RECEIVED,ARB Research,ARB Research,ARB Hold,2,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DA.01.01E,RECEIVED,ARB Research,ARB Research,ARB Hold,2,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DA.01.01F,RECEIVED,ARB Research,ARB Research,ARB Hold,4,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DA.01.01G,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DA.01.01J,RECEIVED,ARB Research,ARB Research,ARB Hold,2,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DA.02.01A,RECEIVED,ARB Research,ARB Research,ARB Hold,49,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DA.02.01B,RECEIVED,ARB Research,ARB Research,ARB Hold,50,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DA.02.01C,RECEIVED,ARB Research,ARB Research,ARB Hold,2,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DA.02.01D,RECEIVED,ARB Research,ARB Research,ARB Hold,2,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DA.02.01E,RECEIVED,ARB Research,ARB Research,ARB Hold,2,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DA.02.01F,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DA.02.01G,RECEIVED,ARB Research,ARB Research,ARB Hold,3,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DA.02.01H,RECEIVED,ARB Research,ARB Research,ARB Hold,4,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DA.02.01J,RECEIVED,ARB Research,ARB Research,ARB Hold,15,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DA.03.01A,RECEIVED,ARB Research,ARB Research,ARB Hold,63,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DA.03.01B,RECEIVED,ARB Research,ARB Research,ARB Hold,42,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DA.03.01C,RECEIVED,ARB Research,ARB Research,ARB Hold,4,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DA.03.01E,RECEIVED,ARB Research,ARB Research,ARB Hold,4,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DA.03.01F,RECEIVED,ARB Research,ARB Research,ARB Hold,4,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DA.03.01G,RECEIVED,ARB Research,ARB Research,ARB Hold,5,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DA.03.01H,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DB.01.01A,RECEIVED,ARB Research,ARB Research,ARB Hold,2,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DB.01.01B,RECEIVED,ARB Research,ARB Research,ARB Hold,29,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DB.01.01C,RECEIVED,ARB Research,ARB Research,ARB Hold,4,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DB.01.01D,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DB.01.01E,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DB.01.01F,RECEIVED,ARB Research,ARB Research,ARB Hold,3,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DB.01.01G,RECEIVED,ARB Research,ARB Research,ARB Hold,5,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DB.02.01B,RECEIVED,ARB Research,ARB Research,ARB Hold,38,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DB.02.01C,RECEIVED,ARB Research,ARB Research,ARB Hold,5,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DB.02.01D,RECEIVED,ARB Research,ARB Research,ARB Hold,6,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DB.02.01E,RECEIVED,ARB Research,ARB Research,ARB Hold,3,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DB.02.01F,RECEIVED,ARB Research,ARB Research,ARB Hold,2,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DB.02.01G,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DB.03.01B,RECEIVED,ARB Research,ARB Research,ARB Hold,38,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DB.03.01C,RECEIVED,ARB Research,ARB Research,ARB Hold,5,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DB.03.01D,RECEIVED,ARB Research,ARB Research,ARB Hold,4,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DB.03.01E,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DB.03.01F,RECEIVED,ARB Research,ARB Research,ARB Hold,2,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DC.01.01A,RECEIVED,ARB Research,ARB Research,ARB Hold,16,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DC.01.01B,RECEIVED,ARB Research,ARB Research,ARB Hold,46,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DC.01.01C,RECEIVED,ARB Research,ARB Research,ARB Hold,13,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DC.01.01D,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DC.01.01E,RECEIVED,ARB Research,ARB Research,ARB Hold,2,10053
DISCREPANCY,DELL - MEMPHIS,DISCREPANCY.ARB.DC.01.01F,RECEIVED,ARB Research,ARB Research,ARB Hold,1,10053
