RecordType,Field1,PartNumber,Status1,Number1,Status2,Date,Description,Unit,PartNumber2,Codes,Number2,Date2,Number3,Number4,Price,Code2,Number5
8888RTV,0,C51000-356,CLIENT,752507,FLDUSE,20251223,Paint trim ring,EA,51000-356,N NLAA,1,99991231,0,0,3.3400C,100YYN,1
8888RTV,0,CADTHYBANT,CLIENT,3373626,TMPHOLD,20251222,ANTENNA FOR ADTHYB PANEL-ADTCONVERT-2,EA,ADTHYBANT,N NCTS,1,99991231,0,0,.0100C,100YYN,1
8888RTV,0,C82015,CLIENT,3012613,Active,20251223,"CR2 BRP Kit, Smart Home Security",EA,82015,N NPBO,1,99991231,0,0,2.7200C,100YYN,1
8888RTV,0,0,CADC-SEM350-ADT-VT-ATCLIENT,2162599,Active,20251219,"SEM Vista Dual Path US ADT - AT&T, ADT Branded, Qualcomm",EA,ADC-SEM350-ADT-VT-AT,N NCSEAE,1,99991231,0,0,103.4000C,100YYN,1
8888RTV,0,C86733,CLIENT,3338612,TMPHOLD,20251223,"Jasco Pro, Power Adapter Only, Out Door Nest Camera",EA,86733,N NPTR,1,99991231,0,0,4.3100C,100YYN,1
8888RTV,0,C6290WC,CLIENT,1746435,Active,20251223,"KEYPAD, GRAPHIC, 7 inch TOUCHSCREEN, RESIDEO BRANDED",EA,6290WC,N NCKTS,1,99991231,0,0,145.8300C,100YYN,1
8888RTV,0,C6290W,CLIENT,1683610,Active,20251223,"KEYPAD, GRAPHIC, 7"" TOUCHSCREEN",EA,6290W,N NCKK,1,99991231,0,0,128.7900C,100YYN,1
8888RTV,0,CGA01892-US,CLIENT,3370611,TMPHOLD,20251223,"Google Nest Hub, Gen 2 (Charcoal, US)",EA,GA01892-US,N NAGHSW,1,99991231,0,0,68.6000C,100YYN,1
8888RTV,0,CPGP9986,CLIENT,3362615,TMPHOLD,20251223,PowerG+ Water Tile and Freeze Detection,EA,PGP9986,N NLSFS,1,99991231,0,0,35.6500C,100YYN,1
8888RTV,0,C2GIG-DBELL1-345,CLIENT,914552,FLDUSE,20251223,(DISC) 2GIG WIRELESS DOOR BELL,EA,2GIG-DBELL1-345,N NVDSW,1,99991231,0,0,18.0000C,100YYN,1
8888RTV,0,C2GIG-ANT2X,CLIENT,914549,Active,20251223,EXTERNAL ATTIC MOUNT CELL RADI o Module Antenna,EA,2GIG-ANT2X,N NCAR,1,99991231,0,0,25.0000C,100YYN,1
8888RTV,0,CWD42PURZ,CLIENT,2370614,Active,20251222,"(DISC) Purple Surveillance Hard Drive, 4TB HDD",EA,WD42PURZ,N NOOM,1,99991231,0,0,111.6100C,100YYN,1
8888RTV,0,0,C82016,CLIENT,3012612,Active,20251223,EA,82016,N NPBO,1,99991231,0,0,2.5300C,100YYN,
